"date","content","sentiment"
"2018-03-09","Saham pilihan berdasarkan Strategi saham http://emiten.co.id Oleh User Value Investor : TLKM, BBRI, HMSP, BBCA, BMRI
Want to see more strategy…? Please visit https://emiten.co.id",1
"2018-03-09","BMRI Siap Lego Tanah dan Bangunan Rp80 Miliar https://goo.gl/fb/MwHxC9",0
"2018-03-19","BMRI Akumulasi Beli pada area level 7700 – 7925, dengan target harga seccara bertahap di level 8000, 8100 dan 8300 #BOTresearch #saham #BMRI",1
"2018-03-22","Berita Hari Ini : Dividen BMRI Rp9,28 Triliun, BRPT Roadshow Cari Investor  https://goo.gl/o9dwav",1
"2018-03-22","IHSG Balik ke 6.200-an, Saham BMRI dan BBRI Dijual Asing Hingga Rp920,4 Miliar  https://goo.gl/41pG2q",0
"2018-03-22","#InfoNews BMRI memutuskan untuk membagikan dividen sebesar 45% dari laba bersih tahun 2017 sebesar Rp20,6 triliun. Dengan demikian, maka total dividen yang dibagikan oleh bank plat merah tersebut sebesar Rp9,28 triliun. http://bit.ly/2pwc6Up",1
"2018-03-25","Ulasan Saham ASII & BMRI - http://mailchi.mp/galerisaham/ulasan-saham-asii-bmri…",0
"2018-03-27","Analisa Teknikal Saham BMRI, Potensi Penguatan Tipis  https://goo.gl/g2nVot",1
"2018-03-29","Anjlok 6,8 Persen Sepanjang Maret, Ini Analisa Teknikal dan Fundamental BMRI  https://goo.gl/q7qLLP",0
"2018-04-03","Masuk hmsp sekarang dengan target 5400 dan juga bmri sekarang target price 9250. Thx to me.",1
"2018-04-05","Antara BMRI, BBRI, BBNI dan BBTN : Siapa Bagi Dividen Terbesar?  https://goo.gl/LksBrm",1
"2018-04-10","#Stockshoot Kinerja saham BMRI cenderung meneguat untuk menguji level resistance pada kisaran harga 8.000 hingga 8.200 sebagai level tertinggi disertai dengan kondisi reversal.. http://dmia.danareksaonline.com/BeritaRiset/NewsReader/2018/04/11472/stock-shoot---bmri…",1
"2018-04-17","#Stockshoot Kinerja saham BMRI cenderung meneguat untuk menguji level resistance pada kisaran harga 8.475 sebagai level tertinggi disertai dengan kondisi reversal pada teritori support.. http://dmia.danareksaonline.com/BeritaRiset/NewsReader/2018/04/11522/stock-shoot---bmri…",1
"2018-04-23","- BMRI IJ: BMRI berharap dapat menjaga rasio biaya dibanding pendapatan atau cost to income ratio (CIR) di bawah level 45%. Bukan hanya itu saja, BMRI juga akan melakukan pengendalian dalam mengelola beban operasional.",1
"2018-04-25","#kafein #ASING membukukan NET SELL masif  hingga -1.5T, pada saham2 : #BMRI -437M, #BBRI -412M, #BBCA -332M, #TKIM -216M, #PGAS -173M, #BBNI -148M, #MDKA -93M, #UNVR -88M dan #ADRO -63M.",-1
"2018-04-25","PT  Bank Mandiri (Persero) Tbk membukukan pertumbuhan laba bersih sekitar  43,7% atau menjadi Rp5,9 triliun pada kuartal I 2018, dari Rp4,07  triliun pada periode serupa tahun lalu. #BMRI",1
"2018-04-25","BMRI membukukan laba bersih sebesar Rp5,9 triliun pada triwulan I-2018. Jumlah tersebut tumbuh 43,7 persen secara year on year (yoy) dari tahun sebelumnya #BOTnews #emiten #BMRI",1
"2018-04-25","Dalam Sehari, Kapitalisasi BBCA, BMRI, dan BBRI Raib Rp 77 T :   IHSG anjlok 2,4% ke level 6.0... http://detik.id/63SllJ",0
"2018-04-25","Harga BMRI, BBCA, UNVR, dan ASII Anjlok, IHSG Terjerembab :  Anjloknya IHSG hari ini banyak dip... http://detik.id/VzlHfI",0
"2018-04-25","Tak Penuhi Ekspektasi, BMRI, BBCA, dan BBNI Terkoreksi :  Kinerja keuangan yang tak memenuhi ek... http://detik.id/6PHhhp",-1
"2018-04-25","UNTR dan BMRI Catat Pertumbuhan Laba, ASII dan UNVR Lesu :  Beberapa emiten besar melaporkan ki... http://detik.id/6PQ4jA",0
"2018-04-26","Fundamental dan Teknikal Saham BMRI : Banyak Dijual Asing, Bagaimana Prospeknya?  https://goo.gl/yKKNuo",0
"2018-04-26","Aksi jual tak hanya dilakukan oleh investor dlm negeri, juga oleh investor asing: BBCA dilepas Rp 332,39 miliar, BBNI dilepas Rp 148,31 miliar, dan BMRI dilepas Rp 437,83 miliar. Seiring anjloknya saham bank BUKU IV, indeks sektor jasa keuangan anjlok 4,1%
https://cnbcindonesia.com/market/20180425162645-17-12465/ihsg-anjlok-24-dan-terhancur-di-asia-asing-keluar-rp-2-t…",0
"2018-04-27","Cermati AKRA, ASII, BBCA, BBRI, BMRI, SMRA, CTRA, ADRO, KDSI, PTPP, UNVR http://dlvr.it/QQxKml",0
"2018-04-27","Perdagangan sesi satu ini IHSG berada di zona hijau, investor asing borong saham-saham milik BUMN.

#CNBCIndonesia #BeyondBusiness

https://cnbcindonesia.com/market/20180427095614-17-12724/ihsg-hijau-saham-bbri-tlkm-dan-bmri-diborong-investor-asing…",0
"2018-04-30","#Stockshoot Kinerja saham BMRI cenderung menguat untuk menguji kisaran level support pada harga 6.600 sebelumnya. Peluang saham BMRI untuk menguat target harga pertama pada kisaran 7.500 .. http://dmia.danareksaonline.com/BeritaRiset/NewsReader/2018/04/11641/stock-shoot---bmri…",1
"2018-04-30","Saham-saham pilihan pekan ini berasal dari sektor jasa keuangan, yaitu PT Bank Tabungan Negara Tbk (BBTN), PT Bank Rakyat Indonesia Tbk (BBRI), dan PT Bank Mandiri Tbk (BMRI).

#CNBCIndonesia #BeyondBusiness
https://cnbcindonesia.com/market/20180430101734-17-12977/mau-cuan-saham-bbtn-bbri-dan-bmri-bisa-dipertimbangkan…",1
"2018-05-02","#Stockshoot Kinerja saham BMRI cenderung meneguat untuk menguji harga 8.125 hingga level resistance pada kisaran harga 8.475 sebagai pada level tertinggi disertai dengan kondisi reversal pada teritori jenuh jual atau oversold.. http://dmia.danareksaonline.com/BeritaRiset/NewsReader/2018/05/11677/stock-shoot---bmri…",1
"2018-05-03","#kafein beberapa saham Bluechip ini, mendekati penutupan, terdapat tekanan jual kembali : #BMRI, #ASII dan #UNVR",-1
"2018-05-07","Sahabat, segera miliki #mandiridebit berlogo Gerbang Pembayaran Nasional (GPN), sistem pembayaran nasional yang saling interkoneksi secara domestik. #mandiridebitGPN bisa Sahabat dapatkan di kantor cabang Bank Mandiri terdekat. #GPNuntuksemua http://bmri.co/dgpn",1
"2018-05-08","BMRI memasang target tinggi untuk pertumbuhan bisnis mikro yakni sebesar 32% secara year on year http://finansial.bisnis.com/read/20180507/90/792633/bisnis-mikro-bank-mandiri-ditargetkan-tumbuh-32-tahun-ini… #BOTnews #emiten #BMRI",1
"2018-05-08","BMRI Beli pada area level 6600 – 6850, dengan target harga seccara bertahap di level 7000, 7100, 7200 dan 7500 #BOTresearch #saham #BMRI",1
"2018-05-08","Meskipun IHSG sedan tertekan hingga 1,63%, masih ada saham-saham yang diakumulasi investor asing. Apa sajakah itu?

#CNBCIndonesia #BeyondBusiness
https://cnbcindonesia.com/market/20180508103718-17-14060/saham-unvr-asii-dan-bmri-diborong-asing-saat-ihsg-anjlok…",0
"2018-05-08","""Kami optimis 
@bank_indonesia
 bisa menjaga rupiah sesuai nilai fundamental,"" ujar Direktur Treasury dan International Banking 
@bankmandiri
 (Persero) Tbk (BMRI) Darmawan Junaidi.

#CNBCIndonesia #BeyondBusiness https://cnbcindonesia.com/market/20180508070634-17-14034/dolar-tembus-rp-14000-bank-mandiri-yakin-bi-jaga-rupiah…",0
"2018-05-15","Ulasan Saham BBRI dan BMRI - https://mailchi.mp/galerisaham/ulasan-saham-bbri-dan-bmri…",0
"2018-05-18","Meski IHSG terkoreksi, investor asing masih juga melakukan aksi beli sejumlah saham. 

#CNBCIndonesia #BeyondBusiness
https://cnbcindonesia.com/market/20180518100219-17-15484/ihsg-merah-investor-asing-borong-saham-inkp-bmri-dan-ptba…",-1
"2018-05-22","BMRI Beli pada area level 6600 – 6700, dengan target harga seccara bertahap di level 7000, 7100, 7200 dan 7500 #BOTresearch #saham #BMRI",1
"2018-05-23","Sahabat, segera miliki #mandiridebit berlogo Gerbang Pembayaran Nasional (GPN), sistem pembayaran nasional yang saling interkoneksi secara domestik. #mandiridebitGPN bisa Sahabat dapatkan di kantor cabang Bank Mandiri terdekat. #GPNuntuksemua http://bmri.co/dgpn #mandiripromo",1
"2018-05-29","Dirut Bank Mandiri:  Kredit macet SNP Finance di BMRI Rp 1,4 triliun http://keuangan.kontan.co.id/news/dirut-bank-mandiri-kredit-macet-snp-finance-di-bmri-rp-14-triliun… #kreditmacet",-1
"2018-05-30","Jawara Transaksi Terbesar Kedua di Bursa, Ini Analisis Saham BMRI  https://goo.gl/vHoiak",1
"2018-05-31","Hai 
@KampusUpdate
. Thanks ya udah ngajak aku #KUchat malam ini. 
1. Saat ini masih sibuk di kantor (ini thn ke-16 ku di BMRI), sedang mulai riset novel selanjutnya (yg entah kapan keluarnya hahaha), & lagi persiapan film Antologi Rasa juga yg insya Allah rilis thn ini. -end. https://x.com/KampusUpdate/status/1002173693236133888…",0
"2018-06-03","Jadi, awal minggu aku kirim paket buat temanku dgn alamat BMRI & produserku dgn alamat lain. Guess what, oleh 
@JNE_ID
 dianternya dua2nya ke alamat produserku. Nggak ada pertanggungjawaban sampe hari ini walau udh komplen. Akhirnya tuh paket di Go-Send aja dr kantor PH ke temenku.",0
"2018-06-04","BMRI (040618) :
Daily Chart ada potensi Technical Rebound menguji level Resisten 7625. Cutloss jika gagal bertahan diatas 7100. Disc On
#TradingIdea #Trading #Market #Stock #AnalystTechnical #ResearchTeam #ProfindoSekuritasIndonesia #YukNabungSaham",1
"2018-06-06","Rekomendasi Teknikal : BMRI",0
"2018-06-06","Begini Awal Mula Anak Usaha Columbia Bermasalah Dengan BMRI :  SNP Finance memiliki rating bagu... http://detik.id/Vq59AL",-1
"2018-06-06","@bankmandiri
 (Persero) Tbk (BMRI) menemukan indikasi niatan tidak baik dari PT Sunprima Nusantara Pembiayaan (SNP Finance). Indikasi tersebut sudah mulai dari penyalahgunaan kredit sampai rekayasa laporan keuangan.

#CNBCIndonesia #BeyondBusiness 

https://cnbcindonesia.com/market/20180606114843-17-18066/bank-mandiri-anak-usaha-columbia-punya-niat-ngemplang…",1
"2018-06-07","Mulai dari rencana penerbitan obligasi dan konversi utang menjadi saham, hingga perjanjian kerjasama emiten dengan berbagai perusahaan. Berikut, beberapa aksi korporasi yang dirangkum oleh CNBC Indonesia.

#CNBCIndonesia #BeyondBusiness 

https://cnbcindonesia.com/market/20180607082152-17-18216/bmri-naikan-suku-bunga-wskt-terbitkan-obligasi…",1
"2018-06-20","BMRI Akumulasi Beli pada area level 6900 – 7000, dengan target harga seccara bertahap di level 7100, 7275, 7475, 7950 dan 8425 #BOTresearch #saham #BMRI",1
"2018-06-20","Kinerja GaleriSaham dan Ulasan Saham MEDC & BMRI - https://mailchi.mp/galerisaham/kinerja-galerisaham-dan-ulasan-saham-medc-bmri…",0
"2018-06-20","Sektor keuangan menjadi penyumbang utama poin penurunan bagi IHSG pada Rabu (20/6/2018) dengan kontribusi penurunan 60 poin, setelah mengalami koreksi sebesar 3,5%.

#CNBCIndonesia #BeyondBusiness
https://cnbcindonesia.com/market/20180620172026-17-19793/saham-bank-bumn-tertekan-bmri-paling-rawan-koreksi…",-1
"2018-06-26","Kawan2, besok BMRI operasional terbatas 8 pagi s.d. 3 sore yaa, khusus utk di Medan yg buka cab Medan Balaikota & Medan Imam Bonjol. 
Jkt & Tangerang: Kota, Kyai Tapa, Daan Mogot, Tanjungpriok Enggano, Pluit Selatan, Greenville, Bintaro, Pulo Gadung, Gading Serpong, ...",0
"2018-07-05","Will Bank Mandiri Persero Tbk PT Deliver Long-Term Returns? $BMRI https://sadifanalytics.com/reports/find/BMRI-59341…",0
"2018-07-05","Perhatikan ADRO, AKRA, ASII, BBCA, BBNI, BBRI, BBTN, BMRI, CTRA, ITMG, JPFA, SMGR, UNVR, WSBP http://dlvr.it/QZVwq6",0
"2018-07-06","Trump ancam perang dagang dengan 
@Jokowi
 ? Rupiah stabil, saham tekstil turun wajar. BMRI dan BBRI malah kena stoploss, sepertinya masalah PGAS, bukan karena perang dagang.",-1
"2018-07-13","Bandar baru mulai masuk lagi ke 6 saham ini pada penutupan 13 Juli 2018 :
AUTO
BMRI
CTRA
INCO
LEAD
SIDO

Untuk konsultasi saham dg Bandarology by AMTA silahkan bergabung di Grup Telegram Free of Charge:

https://goo.gl/U4cjuF

#amta
#amtacharts
#saham
#idx
#idxchannel",0
"2018-07-14","PT Bank Mandiri (Persero) Tbk. adalah #StockAroundUs yang udah nggak asing lagi namanya di telinga Sobat IDX! Hari ini, BMRI sudah 15 tahun tercatat di BEI. Selamat ultah pencatatan saham yang ke-15, PT Bank Mandiri (Persero) 
@bankmandiri
 Tbk! #SekarangWaktunya #YukNabungSaham",1
"2018-07-16","Rekomendasi Teknikal hari ini (16/7) : BMRI",0
"2018-07-18","Berita Hari Ini : Tahap Final ADRO Akuisisi Kestrel, BMRI Salurkan KUR Rp8,52 T  https://goo.gl/UD68Gr",0
"2018-07-19","Laba Bank Mandiri Melonjak 28,7 Persen, Saham BMRI Malah Sentuh Level Terendah  https://goo.gl/ZyBSHb",0
"2018-07-23","Utk investor. Saham undervalue pilihan  berdasarkan PER PBV.
AALI ADRO AKRA ASII BBNI BBRI BBTN BMRI INCO INDF INKP ISAT ITMG WSKT.
Pastikan EPS nya tumbuh lebih tinggi dari PER jika anda akan memilihnya. Alangkah baiknya anda juga membikin analisa sendiri thd saham2 tsb.",0
"2018-07-24","Bandar baru mulai masuk lagi ke 6 saham ini pada penutupan 24 Juli 2018 :
BMRI
BBTN
TPIA
ENRG
GJTL
IIKP

Untuk konsultasi saham dg Bandarology by AMTA silahkan bergabung di Grup Telegram Free of Charge:

https://goo.gl/U4cjuF

#amta
#amtacharts
#saham
#idx
#idxchannel",0
"2018-07-26","Simak rekomendasi teknikal saham BMRI, MBSS, dan GGRM untuk esok hari http://investasi.kontan.co.id/news/simak-rekomendasi-teknikal-saham-bmri-mbss-dan-ggrm-untuk-esok-hari… #RekomendasiSaham",0
"2018-07-30","#InfoNews PT Bank Mandiri Tbk (BMRI) optimistis transisi kartu debit berlogo gerbang pembayaran nasional (GPN) bisa selesai dalam tiga tahun ke depan. https://bit.ly/2mRmhC3",1
"2018-08-02","Rekomendasi Teknikal (2/8) : BMRI",0
"2018-08-02","Univ OB
SCENARIO 2: AWAL BULLISH RALLY
LONG TERM CHART:
- BMRI   http://obrolanbandar.com/plkbmri180801.png…
- BBRI   http://obrolanbandar.com/plkbbri180801.png…
- BBNI   http://obrolanbandar.com/plkbbni180801.png…",1
"2018-08-02","- TPIA IJ: TPIA mendapatkan fasilitas kredit modal kerja sebanyak USD 129 juta dari BMRI. Perseroan berniat menggunakan fasilitas tersebut untuk meningkatkan kinerja usaha dan memperkuat pertumbuhan bisnis kedepan.",1
"2018-08-04","#BMRI - IFC Analyst : IDX BMRI : Peluang Bullish di BMRI - https://id.tradingview.com/chart/BMRI/OGzawc9y/…",1
"2018-08-04","Chart IFC Analyst : IDX BMRI : Peluang Bullish di BMRI - #BMRI http://id.tradingview.com/chart/BMRI/OGzawc9y/…",1
"2018-08-04","#BMRI - IFC Analyst : IDX BMRI : Saham BMRI brpotensi mlanjutkan Bullish - https://id.tradingview.com/chart/BMRI/2572W7jh/…",1
"2018-08-04","Chart IFC Analyst : IDX BMRI : Saham BMRI brpotensi mlanjutkan Bullish - #BMRI http://id.tradingview.com/chart/BMRI/2572W7jh/…",1
"2018-08-04","Sebagai bekas student UPM Kampus Sarawak dan praktikal di BMRI UMS apa yang ada di kampus universiti di semenanjung ada di sana sama sahaja. Tapi culture di Sabah dan Sarawak memang awesome. https://x.com/ruruyahcob/sta/ruruyahcob/status/1024960995360354304…",1
"2018-08-04","IFC Analyst : IDX BMRI : Peluang Bullish di BMRI $BMRI http://id.tradingview.com/chart/BMRI/OGzawc9y/…",1
"2018-08-04","IFC Analyst : IDX BMRI : Saham BMRI brpotensi mlanjutkan Bullish $BMRI http://id.tradingview.com/chart/BMRI/2572W7jh/…",1
"2018-08-09","BMRI mengatakan penerbitan obligasi ini bertujuan untuk memperkuat struktur  pendanaan bank dan ekspansi kredit perusahaan.",0
"2018-08-09","- BMRI IJ: BMRI menerbitkan obligasi melalui penawaran umum berkelanjutan  (PUB) I  tahap III 2018. Surat utang tersebut memiliki  tenor 5 tahun dan  menawarkan kupon sebesar 7,75%-8,5%.",1
"2018-08-12","Sahabat, kini telah hadir #mandiridebit berlogo Gerbang Pembayaran Nasional (GPN), sistem pembayaran nasional yang saling interkoneksi secara domestik. #mandiridebit berlogo GPN bisa Sahabat dapatkan di kantor cabang Bank Mandiri terdekat. http://bmri.co/dgpn",1
"2018-08-13","Mayoritas hari ini saham turun banyak
Index 5883 -194 (-3.1%)
Saham banking mengalami penurunan paling banyak :
Bank Mandiri #bmri
Bank Rakyat Indonesia… https://instagram.com/p/BmaT3NtnnuEAzB63W2jBgGlI0sZW1nRJsZrOBw0/?utm_source=ig_twitter_share&igshid=kcb6f8wxaco2…",-1
"2018-08-20","PT Bank Mandiri Tbk (BMRI) optimistis nilai tukar rupiah terhadap dolar AS berpotensi menguat ke level Rp 14.500/US$ pada akhir tahun.

https://cnbcindonesia.com/market/20180820200054-17-29467/bank-mandiri-optimistis-rupiah-akhir-tahun-rp-14500-us-…",0
"2018-08-24","Saham-saham bank BUKU IV dilepas investor hingga akhir sesi 1: PT Bank Negara Indonesia Tbk (BBNI) turun 1,99%, PT Bank CIMB Niaga Tbk (BNGA) turun 1,59%, dan PT Bank Mandiri Tbk (BMRI) turun 0,73%.

https://cnbcindonesia.com/market/20180824132836-17-30050/penyaluran-kredit-melesat-saham-bank-buku-iv-malah-dilepas?utm_source=twitter&utm_medium=oa&utm_campaign=cnbcsocmed…",1
"2018-08-27","Penguatan Saham BMRI Dongkrak Keuntungan Tiga Reksadana Saham Ini  https://goo.gl/GTFr2G",1
"2018-08-27","Bandar baru mulai masuk lagi ke 7 saham ini pada penutupan 27 Agustus 2018 :
BMRI
BBRI
BBTN
LEAD
TLKM
TRAM
ZINC

Untuk konsultasi saham dg Bandarology by AMTA silahkan bergabung di Grup Telegram Free of Charge:

https://goo.gl/U4cjuF

#amta
#amtacharts
#saham
#idx
#idxchannel",0
"2018-08-27","Simak rekomendasi teknikal BMRI, AALI, INTA untuk hari ini http://investasi.kontan.co.id/news/simak-rekomendasi-teknikal-bmri-aali-inta-untuk-hari-ini…",0
"2018-08-29","Aku masuk BMRI, sibuk kerja setelah itu dan nggak pernah menulis lg. Kurasa menerbitkan buku itu mustahil. Aku bukan siapa2, manalah mungkin naskahku diterima penerbit?",0
"2018-08-29","#EmitenNews Bank Mandiri Tbk (BMRI) optimis mampu cetak pertumbuhan kredit di sepanjang thn ini sebesar 11% - 13% (yoy)",0
"2018-08-30","#BMRI menargetkan pertumbuhan kredit thn ini mencapai 13% YoY. Sementara hingga Semester I 2018, BMRI mencatat pertumbuhan kredit 11,8% YoY. Pertumbuhan kredit trsbt ditopang o/ kredit segmen korporasi (22,2%) & segmen mikro (24,8%).",1
"2018-09-04","Rupiah Dekati Rp 14.900/US$, Saham Bank BUMN Diobral :  Tiga saham Bank BUMN, BMRI, BBTN, BBRI,... http://detik.id/6dws6v",0
"2018-09-05","[BERITA] Berita Hari Ini : Proyek Listrik 15.200 MW Ditunda untuk Bantu Selamatkan Rupiah - Pemerintah tarik devisa hasil ekspor mineral, Afrika Selatan resesi, SAP Express IPO Rp156 miliar, obligasi BMRI Rp3 T https://ift.tt/2Q6qvTM",0
"2018-09-06","sp 7/9 : 1. sido. 2. bmri hmsp bbca inkp jsmr antm pwon bksl cpin. 3 : bbtn bbri bbni smgr wsbp adhi wskt wika tbla bwpt pgas asii lpkr inco elsa adro indy medc excl tlkm fren mapi. + : kras bdmn mlpl doid ptba asri ppro",0
"2018-09-06","Investor asing mencatatkan net sell di pasar reguler sebesar Rp 800.8 miliar. Net sell terbesar di pasar reguler pada saham BBRI, ASII dan BMRI. #MarketReview",-1
"2018-09-06","BOW: JSMR, GGRM, UNVR, INKP, MYOR, SMGR, TKIM, BBNI, PTBA, ICBP, BRPT, ACES, BBTN, CPIN, INDF, JPFA, INDY,  BMRI, INTP,  PGAS, ANTM, ITMG, BBCA, UNTR, ICBP, ASII, INCO, BRPT, MEDC, ADRO, TINS, BBRI.
For more info http://mncsekuritas.id",0
"2018-09-06","BMRI bakal terbitkan penawaran umum berkelanjutan (PUB) obligasi senilai Rp3 triliun. Perseroan menetapkan bunga oblgiasinya 8,5 persen per tahun dengan tenor selama lima tahun.
Penjamin emisi obligasi Bank Mandiri salah satu nya adalah Bahana Sekuritas

https://bareksa.com/id/text/2018/09/05/berita-hari-ini-proyek-listrik-15200-mw-ditunda-untuk-bantu-selamatkan-rupiah/20235/news…",1
"2018-09-06","IHSG Merah, Cermati Saham BMRI, BRPT, ERAA, EXCL, ICBP, TPIA https://kumparan.com/@kumparanbisnis/ihsg-merah-cermati-saham-bmri-brpt-eraa-excl-icbp-tpia-1536199142566919227?utm_source=Twitter&utm_campaign=int&utm_medium=post…",1
"2018-09-07","sp 10/9 : 1. bjbr pwon. 2. gjtl bbtn bbri bmri bnga bbni lsip asii mncn jsmr elsa. 3. kras tbla aces bhit scma. + : mpmx",0
"2018-09-07","Top foreign net buy: INKP, CPIN, GGRM, PGAS, TKIM. Top foreign net sell: BBRI, ASII, BMRI, BBNI, UNTR. #DailyReport",-1
"2018-09-09","Ya kl beli TKIM dari thn kmrn pasti sdh menuai hasil ya..  bank gmn? BMRI gitu",0
"2018-09-10","Bursa Saham Terkoreksi, Waktunya Koleksi Saham BMRI dan INKP http://cnn.id/329028?s=tw&ca=cms&m=oa…",-1
"2018-09-10","Leading Movers:  UNVR, TPIA, INCO, SRTG, BSDE. Lagging Movers:  HMSP, BBRI, BBCA, BMRI, UNTR. #MarketReview",0
"2018-09-10","IDX Range.      :  5,797 - 5,887
USD/IDR Range: 14,750 - 14,885

BUY: MARK, JSMR, GGRM, UNVR, BBNI, ICBP, BRPT, BBCA, UNTR, ASII, ADRO, BBRI, ACES, BBTN, BMRI, CPIN, INDF, INTP, JPFA, MYOR, PGAS, SMGR.

SOS: TLKM
For more info http://mncsekuritas.id",0
"2018-09-10","Top foreign net buy: ASII, HMSP, TKIM, INKP, UNTR. Top foreign net sell: TLKM, BMRI, BBRI, SMGR, PTBA. #DailyReport",-1
"2018-09-10","Investment news; Finance sector IDR1,066.00 B (1.03%)
BBTN: IDR2,620 (3.15%)
BBRI: IDR3,030 (2.36%)
BMRI: IDR6,625 (1.15%)
BBNI: IDR7,350 (1.03%)
BNLI: IDR472 (0.43%)
BNGA: IDR895 (2.29%)
BTPN: IDR3,890 (0.26%)
BBCA: IDR24,850 (0.61%)",0
"2018-09-12","Sir g ya sb log hewano sy b btr hy... In k andr insanityat hy he NHe... Is mulk ma apni bmri zahir krna k Liya phla marna parta hy...ma ya chata hu k ap in hewano k kilaf awaz utae hm ap k 7 hy...",0
"2018-09-12","Leading Movers:  UNVR, PTBA, HMSP, TCPI, TKIM. Lagging Movers:  BBCA, BMRI, BBRI, TLKM, TPIA. #MarketReview",0
"2018-09-13","gain intraday : medc 7.6%, tkim 7.3%, bdmn 6.3%, tram 3.3%, bsde 3%, jsmr 1.6%, mppa 4%, eraa 2.8%, giaa 1.8%, bmri 1.5%, silo 1.4%, bumi 1%,",0
"2018-09-13","Saham TLKM & BMRI Topang IHSG, AIMS Melonjak 30% http://bit.ly/2CRUsEu",0
"2018-09-13","Top foreign net buy: PTBA, UNVR, ERAA, ACES, ASII. Top foreign net sell: BBCA, TLKM, BBRI, BBNI, BMRI. #DailyReport",-1
"2018-09-14","BMRI akankah melanjutkan kenaikannya setelah break resist yang didukung dg cycle major dan sekunder yg up?? Semoga mestakung https://instagram.com/p/BntjbLiBK9Z/?utm_source=ig_twitter_share&igshid=kwxumv0wxwac…",1
"2018-09-14","sp 17/9 : 1. gjtl bolt kras bbtn bnli bbri bmri bnga wton indf roti lsip klbf asii untr lpck lpkr mppa itmg smra ctra ppro tlkm mlpl. 2. scma. + : pgas pnbn",0
"2018-09-14","IHSG Naik 1.04%. IHSG  menguat +1.04% ke 5.858 dipicu oleh kenaikan saham perbankan antara  lain BBRI, BMRI, BDMN dan BBNI. Sektor infrastruktur (+2.05%) mengalami  kenaikan terbesar dipicu oleh penguatan saham TLKM sedangkan sektor  pertanian (-1.05%) mengalami koreksi terdalam",1
"2018-09-17","Chart PIC Analyst : IDX BMRI : Potensi Bullish Saham Bank Mandiri - #BMRI http://id.tradingview.com/chart/BMRI/JJBYGTVX/…",1
"2018-09-17","Investment news; Finance sector IDR1,051.34 B (-1.62%)
BBTN: IDR2,590 (-3.36%)
BBRI: IDR2,970 (-3.26%)
BMRI: IDR6,450 (-4.44%)
BBNI: IDR7,225 (-3.99%)
BNLI: IDR470 (-1.67%)
BNGA: IDR895 (-1.65%)
BTPN: IDR3,700 (-0.27%)
BBCA: IDR23,925 (-0.21%)",0
